system:index,precipitation,.geo
0,20.475890804082155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2089501772388,17.000616751961942]}"
1,18.69618448894471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25386594144479,17.000616751961942]}"
2,18.69618448894471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29878170565075,17.000616751961942]}"
3,20.475890804082155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2089501772388,17.04553251616792]}"
4,18.69618448894471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25386594144479,17.04553251616792]}"
5,18.69618448894471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29878170565075,17.04553251616792]}"
6,18.06497842963472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34369746985674,17.04553251616792]}"
7,19.586390554904938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2089501772388,17.090448280373895]}"
8,17.391199953854084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25386594144479,17.090448280373895]}"
9,17.391199953854084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29878170565075,17.090448280373895]}"
10,17.32528878730227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34369746985674,17.090448280373895]}"
11,17.7097786492086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25386594144479,17.135364044579873]}"
12,17.7097786492086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.29878170565075,17.135364044579873]}"
